Node1,Node2,CN,JI,PA,AA,RA,Label
587,449,1,0.0012626262626262627,133956,0.4176321485238514,0.004032258064516129,0
589,66,0,0,1976,0,0,0
596,424,1,0.0028328611898017,30929,0.4176321485238514,0.004032258064516129,0
596,115,0,0,7850,0,0,0
615,309,0,0,26460,0,0,0
619,321,0,0,2170,0,0,0
629,279,3,0.0071090047393364926,36226,1.232006514724763,0.011293731067901148,0
629,445,1,0.002631578947368421,22718,0.4176321485238514,0.004032258064516129,0
636,348,0,0,2074,0,0,0
636,89,0,0,24644,0,0,0
638,186,0,0,18816,0,0,0
638,190,0,0,274596,0,0,0
638,486,1,0.0028089887640449437,18522,0.4176321485238514,0.004032258064516129,0
639,42,0,0,5754,0,0,0
641,1,1,0.003355704697986577,13794,0.4176321485238514,0.004032258064516129,0
646,425,1,0.0022371364653243847,48732,0.4176321485238514,0.004032258064516129,0
651,455,4,0.007054673721340388,81420,1.8660972277080101,0.03007047992613769,0
658,433,1,0.0026246719160104987,13072,0.4176321485238514,0.004032258064516129,0
658,152,0,0,1720,0,0,0
658,33,1,0.002652519893899204,11696,0.47380122963748156,0.007751937984496124,0
658,164,5,0.008445945945945946,87032,2.4204377995030617,0.04791729350335378,0
661,498,1,0.007142857142857143,1548,0.4176321485238514,0.004032258064516129,0
666,252,0,0,1265,0,0,0
667,429,2,0.00641025641025641,8265,0.8759601448684327,0.010611205432937181,0
668,372,0,0,3488,0,0,0
687,117,0,0,2737,0,0,0
688,18,0,0,2110,0,0,0
690,42,0,0,12138,0,0,0
691,193,0,0,3136,0,0,0
694,242,0,0,43240,0,0,0
694,86,0,0,16920,0,0,0
694,292,2,0.002797202797202797,128216,0.9142757555555816,0.013005050505050506,0
698,472,1,0.0016474464579901153,86332,0.44153661713558023,0.005434782608695652,0
700,177,0,0,2898,0,0,0
700,457,0,0,2070,0,0,0
705,53,0,0,205,0,0,0
712,199,0,0,7160,0,0,0
712,93,1,0.004651162790697674,7040,0.3932633319605598,0.0028653295128939827,0
715,89,0,0,43026,0,0,0
716,215,0,0,62748,0,0,0
716,369,0,0,4536,0,0,0
716,53,0,0,1890,0,0,0
721,367,0,0,5454,0,0,0
725,166,0,0,5760,0,0,0
736,177,0,0,1029,0,0,0
740,97,0,0,10535,0,0,0
757,219,0,0,22333,0,0,0
776,34,0,0,496,0,0,0
778,248,0,0,9891,0,0,0
778,254,0,0,1413,0,0,0
782,126,0,0,52000,0,0,0
782,25,1,0.0024630541871921183,26650,0.3911900096721123,0.002777777777777778,0
785,373,0,0,1881,0,0,0
829,127,0,0,21896,0,0,0
829,181,0,0,322,0,0,0
831,428,0,0,18981,0,0,0
831,462,0,0,45954,0,0,0
832,221,0,0,2871,0,0,0
832,461,0,0,16038,0,0,0
833,149,0,0,4056,0,0,0
840,235,1,0.001081081081081081,37128,0.49577762574199646,0.009615384615384616,0
840,2,0,0,66300,0,0,0
840,18,0,0,8840,0,0,0
843,414,0,0,341,0,0,0
847,35,0,0,3130,0,0,0
847,415,0,0,18780,0,0,0
847,251,1,0.0014265335235378032,47576,0.41855608387559157,0.004081632653061225,0
847,204,1,0.0013623978201634877,68234,0.5010935880000178,0.010101010101010102,0
859,184,0,0,53469,0,0,0
867,218,0,0,6023,0,0,0
877,14,0,0,11286,0,0,0
879,299,0,0,70044,0,0,0
885,25,0,0,2050,0,0,0
900,432,0,0,2324,0,0,0
906,197,0,0,39235,0,0,0
908,202,0,0,1224,0,0,0
952,213,0,0,2236,0,0,0
955,410,0,0,5265,0,0,0
960,198,1,0.002066115702479339,38500,0.49577762574199646,0.009615384615384616,0
968,338,1,0.0030959752321981426,6644,0.40660447853571624,0.003472222222222222,0
968,271,3,0.008241758241758242,19630,1.3306563028156964,0.017728606422783927,0
968,45,0,0,14194,0,0,0
968,321,0,0,10570,0,0,0
977,483,0,0,720,0,0,0
978,383,0,0,1305,0,0,0
1003,461,0,0,21546,0,0,0
1004,234,1,0.002320185614849188,37052,0.6769924925288455,0.03333333333333333,0
1004,34,0,0,2512,0,0,0
1007,214,0,0,2208,0,0,0
1012,456,0,0,174492,0,0,0
1012,495,0,0,9432,0,0,0
1012,109,0,0,308112,0,0,0
1012,112,0,0,10218,0,0,0
1012,308,2,0.0013550135501355014,543912,0.704640206657457,0.0030389674376153494,0
1015,1,1,0.010638297872340425,2166,0.4383977956475885,0.005235602094240838,0
1029,460,0,0,11892,0,0,0
1033,301,0,0,10700,0,0,0
1034,166,0,0,44592,0,0,0
1043,80,0,0,9296,0,0,0
1044,355,0,0,260,0,0,0
1047,352,0,0,7575,0,0,0
1049,104,0,0,7548,0,0,0
1050,341,0,0,4752,0,0,0
1068,363,0,0,1683,0,0,0
1080,2,0,0,1875,0,0,0
1087,293,0,0,1056,0,0,0
1088,340,0,0,3250,0,0,0
1109,450,0,0,54417,0,0,0
1110,51,0,0,5802,0,0,0
1110,184,1,0.0007027406886858749,441919,0.37773152252192077,0.0022522522522522522,0
1110,9,0,0,2901,0,0,0
1113,103,0,0,14883,0,0,0
1121,174,0,0,21792,0,0,0
1132,102,0,0,640,0,0,0
1133,156,0,0,2058,0,0,0
1139,374,0,0,7480,0,0,0
1145,278,0,0,3871,0,0,0
1149,213,0,0,4394,0,0,0
1151,444,0,0,3675,0,0,0
1168,386,0,0,1585,0,0,0
1169,492,0,0,14145,0,0,0
1170,316,2,0.0028011204481792717,127908,0.908407213321641,0.01419453493783658,0
1170,9,0,0,1026,0,0,0
1175,211,0,0,5957,0,0,0
1175,318,0,0,5439,0,0,0
1175,484,0,0,6216,0,0,0
1178,465,0,0,12402,0,0,0
1203,100,0,0,4810,0,0,0
1219,371,0,0,44346,0,0,0
1220,444,0,0,4100,0,0,0
1230,141,0,0,4340,0,0,0
1231,172,0,0,1120,0,0,0
1233,375,0,0,45120,0,0,0
1233,399,0,0,384,0,0,0
1237,493,0,0,14925,0,0,0
1238,166,0,0,1728,0,0,0
1248,198,0,0,35035,0,0,0
1249,217,0,0,127088,0,0,0
1249,12,0,0,14196,0,0,0
1253,3,0,0,98,0,0,0
1259,237,0,0,1938,0,0,0
1265,209,0,0,2184,0,0,0
1274,153,0,0,2880,0,0,0
1276,424,0,0,29747,0,0,0
1281,389,0,0,2805,0,0,0
1281,132,0,0,748,0,0,0
1294,259,0,0,10062,0,0,0
1297,327,0,0,5520,0,0,0
1302,433,0,0,9728,0,0,0
1307,482,3,0.0054249547920434,53568,1.6113016741948893,0.04863584591130924,0
1313,300,0,0,3480,0,0,0
1313,288,0,0,10150,0,0,0
1320,25,0,0,19434,0,0,0
1325,119,0,0,5781,0,0,0
1329,427,0,0,6887,0,0,0
1339,14,0,0,2268,0,0,0
1341,247,3,0.004195804195804196,117645,1.2457953525292464,0.013490769872256548,0
1344,247,1,0.002398081534772182,41745,0.3897347273374055,0.002717391304347826,0
1349,228,0,0,4200,0,0,0
1353,93,0,0,58432,0,0,0
1353,426,0,0,5976,0,0,0
1354,249,0,0,38718,0,0,0
1354,410,0,0,10755,0,0,0
1359,438,2,0.0038095238095238095,57222,0.9053634640007053,0.012380952380952381,0
1359,51,0,0,2244,0,0,0
1364,280,0,0,16502,0,0,0
1365,196,1,0.05263157894736842,96,0.39287989788379907,0.002849002849002849,0
1368,416,0,0,2464,0,0,0
1369,122,1,0.004149377593360996,14592,0.397476209905937,0.003048780487804878,0
1370,420,0,0,29211,0,0,0
1370,214,0,0,1638,0,0,0
1381,112,0,0,598,0,0,0
1383,54,0,0,24240,0,0,0
1383,206,0,0,197960,0,0,0
1384,345,0,0,3648,0,0,0
1384,54,0,0,7296,0,0,0
1391,173,0,0,1372,0,0,0
1391,251,0,0,26068,0,0,0
1397,18,0,0,1570,0,0,0
1398,497,0,0,5396,0,0,0
1400,146,0,0,1302,0,0,0
1406,433,0,0,14896,0,0,0
1420,272,0,0,42074,0,0,0
1420,70,1,0.0024752475247524753,7334,0.3832013114623804,0.002457002457002457,0
1423,111,0,0,44616,0,0,0
1425,262,0,0,113216,0,0,0
1428,481,0,0,6060,0,0,0
1428,479,0,0,14948,0,0,0
1431,154,0,0,11520,0,0,0
1438,103,0,0,1650,0,0,0
1445,413,0,0,7728,0,0,0
1451,289,0,0,4130,0,0,0
1456,131,0,0,2976,0,0,0
1466,130,2,0.003952569169960474,64435,0.8625837221952226,0.009639439076449933,0
1468,489,0,0,7007,0,0,0
1468,278,0,0,4459,0,0,0
1471,468,0,0,16384,0,0,0
1478,149,0,0,4272,0,0,0
1478,322,0,0,112852,0,0,0
1488,3,0,0,3829,0,0,0
1497,304,0,0,9225,0,0,0
1497,157,0,0,3525,0,0,0
1508,278,0,0,8722,0,0,0
1517,376,0,0,27234,0,0,0
1517,253,0,0,90246,0,0,0
1526,268,0,0,12896,0,0,0
1538,75,0,0,203,0,0,0
1539,175,0,0,502,0,0,0
1539,196,0,0,6024,0,0,0
1539,364,0,0,1004,0,0,0
1544,223,0,0,4437,0,0,0
1547,151,0,0,4070,0,0,0
1552,238,2,0.00796812749003984,15190,0.8043067422773666,0.0065365719075966425,0
1567,123,0,0,966,0,0,0
1570,155,0,0,4480,0,0,0
1582,201,0,0,546,0,0,0
1609,305,0,0,29445,0,0,0
1609,24,0,0,17160,0,0,0
1610,203,1,0.001694915254237288,78008,0.3856111412918456,0.002551020408163265,0
1610,17,0,0,137592,0,0,0
1615,259,0,0,30264,0,0,0
1619,367,0,0,14443,0,0,0
1624,119,0,0,22043,0,0,0
1624,46,0,0,7035,0,0,0
1635,274,0,0,2156,0,0,0
1639,158,0,0,1647,0,0,0
1641,103,0,0,30723,0,0,0
1641,403,0,0,33516,0,0,0
1641,142,0,0,41895,0,0,0
1643,128,0,0,5152,0,0,0
1653,174,0,0,16224,0,0,0
1654,114,0,0,24675,0,0,0
1656,175,0,0,70,0,0,0
1658,378,1,0.005494505494505495,6480,0.39287989788379907,0.002849002849002849,0
1666,387,0,0,2149,0,0,0
1690,466,0,0,14432,0,0,0
1690,251,0,0,12464,0,0,0
1707,288,0,0,15260,0,0,0
1707,367,1,0.0031446540880503146,22018,0.4666323349150137,0.007194244604316547,0
1708,29,0,0,1320,0,0,0
1709,293,0,0,2728,0,0,0
1719,474,0,0,11988,0,0,0
1750,237,1,0.003745318352059925,8740,0.39482707375588044,0.002932551319648094,0
1759,156,0,0,1736,0,0,0
1759,468,0,0,7936,0,0,0
1765,413,0,0,1680,0,0,0
1766,491,1,0.00411522633744856,12768,0.3856111412918456,0.002551020408163265,0
1766,154,0,0,20160,0,0,0
1771,52,0,0,38801,0,0,0
1783,30,1,0.0033222591362126247,11985,0.3852827800676349,0.0025380710659898475,0
1787,328,0,0,40293,0,0,0
1789,13,0,0,5875,0,0,0
1791,465,0,0,468,0,0,0
1793,291,0,0,60368,0,0,0
1800,79,0,0,945,0,0,0
1816,136,0,0,69,0,0,0
1817,294,0,0,459,0,0,0
1823,475,0,0,2970,0,0,0
1825,163,1,0.0024154589371980675,15000,0.6160483210529383,0.023809523809523808,0
1827,456,1,0.002551020408163265,37962,0.40322467759207314,0.0033112582781456954,0
1827,377,0,0,2223,0,0,0
1828,425,17,0.02635658914728682,104800,7.584946780247715,0.13354656542325904,0
1828,287,0,0,23200,0,0,0
1832,325,0,0,4284,0,0,0
1836,428,0,0,2850,0,0,0
1847,158,0,0,3915,0,0,0
1848,64,0,0,1870,0,0,0
1848,485,1,0.002583979328165375,5236,0.4140832447862211,0.0038461538461538464,0
1863,168,0,0,11610,0,0,0
1867,207,0,0,6304,0,0,0
1867,278,0,0,19306,0,0,0
1875,367,0,0,27775,0,0,0
1879,111,8,0.011494252873563218,123708,3.4856109427790467,0.04225845560376158,0
1885,361,0,0,16128,0,0,0
1885,484,0,0,10752,0,0,0
1887,454,0,0,59456,0,0,0
1887,49,2,0.00199203187250996,71533,0.7741690361038618,0.005261735900033772,0
1888,163,0,0,7480,0,0,0
1892,74,0,0,684,0,0,0
1898,85,0,0,8372,0,0,0
1899,448,0,0,52780,0,0,0
1899,1,1,0.0010351966873706005,51870,0.34917208437843633,0.0013679890560875513,0
1905,191,0,0,9638,0,0,0
1908,224,1,0.0012300123001230013,124845,0.3785764910673911,0.00228310502283105,0
1913,31,2,0.002886002886002886,117216,0.7779079405159581,0.006019151846785226,0
1915,406,1,0.002857142857142857,29988,0.6585385709929115,0.030303030303030304,0
1919,359,0,0,14319,0,0,0
1919,392,1,0.0015408320493066256,105561,0.3839912433160672,0.0024875621890547263,0
1920,298,0,0,567,0,0,0
1923,157,0,0,5076,0,0,0
1927,358,0,0,65664,0,0,0
1930,407,0,0,43120,0,0,0
1930,181,0,0,1960,0,0,0
1930,285,0,0,12740,0,0,0
1933,375,1,0.0015600624024961,95645,0.38351572360666225,0.0024691358024691358,0
1933,465,0,0,5291,0,0,0
1934,466,0,0,3520,0,0,0
1936,100,0,0,1924,0,0,0
1939,332,0,0,5946,0,0,0
1941,380,0,0,86268,0,0,0
1941,102,0,0,75840,0,0,0
1945,407,0,0,40216,0,0,0
1945,87,0,0,120648,0,0,0
1945,130,0,0,223930,0,0,0
1949,380,0,0,71981,0,0,0
1949,196,0,0,9492,0,0,0
1956,42,0,0,10080,0,0,0
1959,370,0,0,18030,0,0,0
1959,108,0,0,601,0,0,0
1961,327,1,0.0017857142857142857,58374,0.40660447853571624,0.003472222222222222,0
1963,264,0,0,30400,0,0,0
1963,56,0,0,159600,0,0,0
1963,88,0,0,6650,0,0,0
1968,441,0,0,18705,0,0,0
1969,429,0,0,9918,0,0,0
1969,371,0,0,38988,0,0,0
1970,390,0,0,5348,0,0,0
1970,283,0,0,755596,0,0,0
1971,178,0,0,1890,0,0,0
1974,452,0,0,64356,0,0,0
1976,95,0,0,1917,0,0,0
1978,61,0,0,11115,0,0,0
1980,145,0,0,1176,0,0,0
1984,140,0,0,7560,0,0,0
1985,92,0,0,37563,0,0,0
1985,469,1,0.0008319467554076539,358496,0.45204122742991126,0.006134969325153374,0
1988,25,0,0,67404,0,0,0
1993,310,3,0.0024529844644317253,307648,1.1737520339037524,0.008542454920689519,0
1993,423,0,0,21850,0,0,0
1993,276,0,0,34960,0,0,0
1994,368,0,0,50274,0,0,0
1994,154,0,0,52920,0,0,0
1995,332,0,0,3354,0,0,0
1996,26,0,0,236592,0,0,0
2002,342,0,0,6627,0,0,0
2013,280,0,0,165243,0,0,0
2013,494,0,0,71877,0,0,0
2016,289,0,0,9366,0,0,0
2016,274,0,0,14718,0,0,0
2017,112,0,0,1079,0,0,0
2024,66,0,0,12558,0,0,0
2026,376,0,0,55284,0,0,0
2026,439,0,0,3794,0,0,0
2026,471,0,0,55284,0,0,0
2029,178,0,0,1044,0,0,0
2029,387,0,0,3654,0,0,0
2030,397,0,0,147000,0,0,0
2030,321,0,0,34300,0,0,0
2030,240,0,0,146020,0,0,0
2036,279,1,0.0010214504596527069,101716,0.384150802590121,0.0024937655860349127,0
2036,33,0,0,29308,0,0,0
2036,392,1,0.0008488964346349745,273254,0.3521774013800698,0.001447178002894356,0
2036,150,0,0,24136,0,0,0
2036,255,0,0,19826,0,0,0
2036,396,0,0,23274,0,0,0
2037,66,0,0,3172,0,0,0
2040,217,0,0,28952,0,0,0
2042,277,0,0,2880,0,0,0
2047,18,0,0,1180,0,0,0
2047,131,0,0,10974,0,0,0
2053,119,0,0,2256,0,0,0
2058,151,0,0,6310,0,0,0
2058,397,0,0,94650,0,0,0
2060,160,0,0,456,0,0,0
2061,262,4,0.002863278453829635,434768,1.4634059248698639,0.007726541644341278,0
2061,200,0,0,11244,0,0,0
2061,198,0,0,360745,0,0,0
2061,198,0,0,360745,0,0,0
2061,198,0,0,360745,0,0,0
2061,421,0,0,23425,0,0,0
2061,2,0,0,70275,0,0,0
2066,163,0,0,22560,0,0,0
2066,206,0,0,110544,0,0,0
2066,319,0,0,49068,0,0,0
2067,103,0,0,5115,0,0,0
2069,311,0,0,29610,0,0,0
2069,156,0,0,13818,0,0,0
2069,4,1,0.0008680555555555555,163842,0.49577762574199646,0.009615384615384616,0
2069,157,0,0,46389,0,0,0
2069,209,0,0,41454,0,0,0
2069,360,0,0,7896,0,0,0
2071,139,0,0,13755,0,0,0
2075,75,0,0,175,0,0,0
2078,237,0,0,37924,0,0,0
2078,285,0,0,12974,0,0,0
2078,493,0,0,198602,0,0,0
2079,432,0,0,32038,0,0,0
2085,402,0,0,19425,0,0,0
2085,241,0,0,13209,0,0,0
2090,245,3,0.0024193548387096775,316302,1.0690139326758197,0.004924347616882111,0
2090,437,1,0.0009199632014719411,178972,0.3785764910673911,0.00228310502283105,0
2090,110,0,0,45186,0,0,0
2090,29,0,0,9746,0,0,0
2090,346,0,0,886,0,0,0
2090,29,0,0,9746,0,0,0
2090,450,0,0,257826,0,0,0
2093,389,0,0,1470,0,0,0
2103,101,0,0,14985,0,0,0
2103,219,1,0.0028169014084507044,7659,0.3700372633130797,0.001984126984126984,0
2107,344,0,0,27753,0,0,0
2107,48,0,0,325467,0,0,0
2107,247,1,0.0009149130832570906,212773,0.34917208437843633,0.0013679890560875513,0
2111,143,0,0,1207,0,0,0
2119,21,10,0.006024096385542169,686200,4.052405288694019,0.05832646000956344,0
2119,140,0,0,9400,0,0,0
2119,8,0,0,2820,0,0,0
2122,305,1,0.0019455252918287938,28086,0.3807579597915839,0.002364066193853428,0
2127,221,0,0,8642,0,0,0
2127,211,0,0,6854,0,0,0
2128,317,0,0,86022,0,0,0
2128,282,0,0,150273,0,0,0
2130,260,0,0,76500,0,0,0
2130,345,0,0,4500,0,0,0
2131,302,0,0,22512,0,0,0
2133,344,0,0,16104,0,0,0
2133,177,0,0,3416,0,0,0
2137,19,1,0.013333333333333334,420,0.34917208437843633,0.0013679890560875513,0
2141,153,0,0,4040,0,0,0
2141,186,0,0,32320,0,0,0
2141,431,1,0.0015337423312883436,74740,0.5438184161154122,0.014492753623188406,0
2145,413,0,0,17920,0,0,0
2145,210,0,0,34560,0,0,0
2151,108,0,0,89,0,0,0
2153,229,0,0,4404,0,0,0
2153,205,1,0.0017035775127768314,81107,0.3334783788302864,0.0010030090270812437,0
2154,273,1,0.001763668430335097,13056,0.4607739209084347,0.006756756756756757,0
2156,493,0,0,190443,0,0,0
2156,276,0,0,38280,0,0,0
2159,494,0,0,96418,0,0,0
2159,56,0,0,166992,0,0,0
2161,395,0,0,9850,0,0,0
2161,91,0,0,11032,0,0,0
2163,83,0,0,2100,0,0,0
2163,140,0,0,1750,0,0,0
2163,16,0,0,33425,0,0,0
2170,395,0,0,15000,0,0,0
2170,360,0,0,4800,0,0,0
2173,441,1,0.0033783783783783786,10922,0.44989993684786184,0.005988023952095809,0
2174,344,0,0,32802,0,0,0
2177,439,0,0,3885,0,0,0
2177,295,0,0,96015,0,0,0
2177,221,0,0,16095,0,0,0
2179,69,0,0,55094,0,0,0
2180,126,0,0,51040,0,0,0
2180,275,0,0,113883,0,0,0
2182,172,0,0,10108,0,0,0
2183,263,0,0,1068,0,0,0
2190,465,0,0,12103,0,0,0
2195,335,0,0,22286,0,0,0
2195,139,0,0,398109,0,0,0
2196,137,0,0,4734,0,0,0
2196,213,0,0,20514,0,0,0
2196,209,1,0.0012048192771084338,33138,0.4392781808009187,0.005291005291005291,0
2197,475,0,0,810,0,0,0
2200,278,0,0,26460,0,0,0
2200,479,1,0.001736111111111111,19980,0.40393086315990717,0.0033444816053511705,0
2200,74,0,0,1620,0,0,0
2200,85,0,0,86940,0,0,0
2205,25,0,0,23534,0,0,0
2208,275,0,0,175287,0,0,0
2208,358,0,0,167922,0,0,0
2208,65,0,0,491,0,0,0
2209,129,0,0,134945,0,0,0
2209,79,0,0,34475,0,0,0
2210,193,0,0,11424,0,0,0
2211,470,0,0,31392,0,0,0
2214,310,0,0,352352,0,0,0
2216,451,0,0,30276,0,0,0
2221,115,0,0,21000,0,0,0
